SURVEY: PS1MD
SNID:  PSc000076
IAUC:    UNKNOWN
RA:         129.2608  deg
DECL:        43.738  deg
MWEBV:  0.0245  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.2600  +- 0.0000 CMB
SEARCH_PEAKMJD: 55207.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 390
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55516.6 i NULL  -1.756 8.398 nan -5.194
OBS: 55534.6 i NULL  10.540 16.394 -7.557 1.689
OBS: 55546.5 i NULL  7.905 12.154 -7.245 1.669
OBS: 55561.5 i NULL  -4.476 8.501 nan -2.062
OBS: 55567.6 i NULL  1.228 10.720 -5.223 9.480
OBS: 55570.5 i NULL  13.433 12.947 -7.820 1.046
OBS: 55573.4 i NULL  77.103 99.904 -9.718 1.407
OBS: 55576.5 i NULL  8.510 15.931 -7.325 2.033
OBS: 55585.3 i NULL  10.242 11.148 -7.526 1.182
OBS: 55588.5 i NULL  2.073 12.469 -5.791 6.531
OBS: 55594.4 i NULL  -9.639 9.556 nan -1.076
OBS: 55597.3 i NULL  0.922 12.095 -4.911 14.249
OBS: 55633.3 i NULL  14.987 11.248 -7.939 0.815
OBS: 55645.4 i NULL  3.040 11.907 -6.207 4.252
OBS: 55648.3 i NULL  -20.244 18.837 nan -1.010
OBS: 55651.3 i NULL  2.635 9.726 -6.052 4.008
OBS: 55666.3 i NULL  6.980 16.525 -7.110 2.570
OBS: 55672.3 i NULL  -7.075 10.629 nan -1.631
OBS: 55879.6 i NULL  2.138 12.156 -5.825 6.172
OBS: 55885.6 i NULL  -1.254 14.068 nan -12.184
OBS: 55888.5 i NULL  19.879 11.823 -8.246 0.646
OBS: 55890.6 i NULL  3.582 8.202 -6.385 2.486
OBS: 55893.6 i NULL  6.367 11.652 -7.010 1.987
OBS: 55900.6 i NULL  -23.055 13.731 nan -0.647
OBS: 55915.4 i NULL  12.909 38.313 -7.777 3.222
OBS: 55939.5 i NULL  37.925 18.449 -8.947 0.528
OBS: 55942.4 i NULL  16.262 17.686 -8.028 1.181
OBS: 55945.6 i NULL  0.186 9.639 -3.174 56.234
OBS: 55948.4 i NULL  11.843 13.470 -7.684 1.235
OBS: 55950.6 i NULL  1.642 9.010 -5.538 5.958
OBS: 55953.5 i NULL  28.408 22.717 -8.634 0.868
OBS: 55956.3 i NULL  1.305 17.204 -5.289 14.312
OBS: 55960.5 i NULL  -12.622 10.014 nan -0.861
OBS: 55968.3 i NULL  2.285 11.480 -5.897 5.456
OBS: 55979.3 i NULL  -26.403 17.863 nan -0.735
OBS: 55985.3 i NULL  2.279 13.929 -5.894 6.636
OBS: 55998.2 i NULL  -28.148 23.089 nan -0.891
OBS: 56015.3 i NULL  -0.190 8.365 nan -47.801
OBS: 56233.6 i NULL  20.344 11.800 -8.271 0.630
OBS: 56239.6 i NULL  -5.822 12.491 nan -2.330
OBS: 56242.6 i NULL  7.533 12.405 -7.192 1.788
OBS: 56250.6 i NULL  1.296 12.725 -5.281 10.662
OBS: 56274.5 i NULL  -43.815 25.586 nan -0.634
OBS: 56284.5 i NULL  -3.572 8.791 nan -2.672
OBS: 56293.4 i NULL  95.185 56.157 -9.946 0.641
OBS: 56302.4 i NULL  8.846 10.937 -7.367 1.342
OBS: 56310.3 i NULL  3.774 16.910 -6.442 4.865
OBS: 56314.5 i NULL  -9.228 11.390 nan -1.340
OBS: 56323.5 i NULL  1.632 12.800 -5.532 8.515
OBS: 56326.4 i NULL  -10.678 8.921 nan -0.907
OBS: 56329.4 i NULL  7.243 13.017 -7.150 1.951
OBS: 56332.3 i NULL  -3.577 9.122 nan -2.769
OBS: 56337.4 i NULL  0.156 8.339 -2.983 58.036
OBS: 56340.4 i NULL  86.978 22.723 -9.849 0.284
OBS: 56344.3 i NULL  6.852 14.827 -7.090 2.349
OBS: 56352.4 i NULL  45.787 19.754 -9.152 0.468
OBS: 56355.4 i NULL  -23.075 10.744 nan -0.506
OBS: 56358.5 i NULL  -7.882 11.466 nan -1.579
OBS: 56369.3 i NULL  -19.809 24.836 nan -1.361
OBS: 56388.3 i NULL  -17.669 10.352 nan -0.636
OBS: 56391.3 i NULL  -11.902 9.455 nan -0.863
OBS: 56393.3 i NULL  2.310 11.260 -5.909 5.293
OBS: 56396.3 i NULL  10.428 28.722 -7.545 2.991
OBS: 56403.3 i NULL  -11.972 14.571 nan -1.321
OBS: 56411.3 i NULL  -88.726 122.561 nan -1.500
OBS: 56420.3 i NULL  2.834 8.668 -6.131 3.321
OBS: 56623.6 i NULL  -11.731 11.821 nan -1.094
OBS: 56626.6 i NULL  -2.033 52.353 nan -27.962
OBS: 56631.5 i NULL  -1.930 9.748 nan -5.483
OBS: 56638.6 i NULL  -21.304 10.007 nan -0.510
OBS: 56650.6 i NULL  35.065 15.445 -8.862 0.478
OBS: 56656.6 i NULL  3.637 14.686 -6.402 4.384
OBS: 56658.5 i NULL  3.406 10.973 -6.330 3.498
OBS: 56661.5 i NULL  -3.875 8.967 nan -2.513
OBS: 56668.4 i NULL  -9.658 12.796 nan -1.438
OBS: 56677.5 i NULL  4.008 10.785 -6.507 2.922
OBS: 56680.5 i NULL  18.204 12.548 -8.150 0.748
OBS: 56683.5 i NULL  -1.107 10.096 nan -9.898
OBS: 55160.6 z NULL  -4.201 20.952 nan -5.415
OBS: 55163.5 z NULL  6.626 17.371 -7.053 2.846
OBS: 55172.5 z NULL  -4.096 23.090 nan -6.120
OBS: 55181.5 z NULL  -6.483 13.089 nan -2.192
OBS: 55190.5 z NULL  6.122 13.388 -6.967 2.374
OBS: 55193.5 z NULL  4.652 11.589 -6.669 2.704
OBS: 55200.4 z NULL  -4.831 14.675 nan -3.298
OBS: 55202.5 z NULL  -5.324 12.389 nan -2.527
OBS: 55202.5 z NULL  -4.885 14.392 nan -3.199
OBS: 55205.5 z NULL  21.759 14.614 -8.344 0.729
OBS: 55208.5 z NULL  45.569 12.765 -9.147 0.304
OBS: 55211.4 z NULL  58.041 15.738 -9.409 0.294
OBS: 55214.4 z NULL  75.800 10.817 -9.699 0.155
OBS: 55214.4 z NULL  72.618 12.102 -9.653 0.181
OBS: 55220.4 z NULL  109.261 22.696 -10.096 0.226
OBS: 55232.3 z NULL  83.286 22.239 -9.801 0.290
OBS: 55235.5 z NULL  75.811 16.330 -9.699 0.234
OBS: 55238.4 z NULL  76.530 16.168 -9.710 0.229
OBS: 55241.3 z NULL  87.608 15.271 -9.856 0.189
OBS: 55244.3 z NULL  73.495 22.381 -9.666 0.331
OBS: 55247.3 z NULL  84.950 16.263 -9.823 0.208
OBS: 55250.4 z NULL  95.242 14.850 -9.947 0.169
OBS: 55259.4 z NULL  59.331 28.790 -9.433 0.527
OBS: 55268.3 z NULL  98.521 17.540 -9.984 0.193
OBS: 55475.6 z NULL  17.650 14.750 -8.117 0.907
OBS: 55478.6 z NULL  25.249 15.718 -8.506 0.676
OBS: 55481.6 z NULL  32.492 19.140 -8.779 0.640
OBS: 55484.6 z NULL  46.892 14.999 -9.178 0.347
OBS: 55487.6 z NULL  7.442 21.588 -7.179 3.149
OBS: 55508.6 z NULL  12.986 16.534 -7.784 1.382
OBS: 55511.6 z NULL  -4.943 18.394 nan -4.040
OBS: 55517.6 z NULL  7.920 13.418 -7.247 1.839
OBS: 55547.5 z NULL  -3.058 15.451 nan -5.486
OBS: 55562.5 z NULL  2.307 11.447 -5.907 5.388
OBS: 55565.6 z NULL  -21.411 22.846 nan -1.158
OBS: 55577.5 z NULL  28.720 30.069 -8.645 1.137
OBS: 55583.4 z NULL  12.496 14.311 -7.742 1.243
OBS: 55586.4 z NULL  28.025 24.294 -8.619 0.941
OBS: 55589.5 z NULL  -27.611 15.532 nan -0.611
OBS: 55592.4 z NULL  2.222 14.554 -5.867 7.113
OBS: 55595.3 z NULL  11.451 14.400 -7.647 1.365
OBS: 55613.4 z NULL  -11.911 12.922 nan -1.178
OBS: 55631.2 z NULL  -4.422 12.387 nan -3.042
OBS: 55646.4 z NULL  6.951 13.063 -7.105 2.041
OBS: 55652.3 z NULL  -15.279 15.945 nan -1.133
OBS: 55878.6 z NULL  2.193 14.331 -5.852 7.096
OBS: 55883.6 z NULL  21.436 33.036 -8.328 1.673
